review,aspect,category
"Judging from previous posts this used to be a good place, but not any longer.",place,RESTAURANT#GENERAL:negative
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE#GENERAL:negative
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,SERVICE#GENERAL:negative
The food was lousy - too sweet or too salty and the portions tiny.,food,FOOD#QUALITY:negative
The food was lousy - too sweet or too salty and the portions tiny.,portions,FOOD#STYLE_OPTIONS:negative
"After all that, they complained to me about the small tip.",NULL,SERVICE#GENERAL:negative
Avoid this place!,place,RESTAURANT#GENERAL:negative
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD#QUALITY:positive
Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,RESTAURANT#GENERAL:positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,FOOD#QUALITY:positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,FOOD#QUALITY:positive
The wine list is interesting and has many good values.,wine list,DRINKS#STYLE_OPTIONS:positive
The wine list is interesting and has many good values.,wine list,DRINKS#PRICES:positive
"For the price, you cannot eat this well in Manhattan.",NULL,RESTAURANT#PRICES:positive
"For the price, you cannot eat this well in Manhattan.",NULL,FOOD#QUALITY:positive
I was very disappointed with this restaurant.,restaurant,RESTAURANT#GENERAL:negative
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE#GENERAL:negative
I had to ask her three times before she finally came back with the dish Ive requested.,NULL,SERVICE#GENERAL:negative
"Food was okay, nothing great.",Food,FOOD#QUALITY:neutral
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,FOOD#QUALITY:negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,FOOD#QUALITY:negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,NULL,RESTAURANT#MISCELLANEOUS:negative
I/we will never go back to this place again.,place,RESTAURANT#GENERAL:negative
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,RESTAURANT#GENERAL:positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,SERVICE#GENERAL:positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,FOOD#QUALITY:positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",NULL,RESTAURANT#PRICES:positive
You can't go wrong here.,NULL,RESTAURANT#GENERAL:positive
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,RESTAURANT#GENERAL:positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL,FOOD#QUALITY:positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,SERVICE#GENERAL:positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,AMBIENCE#GENERAL:positive
I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD#QUALITY:positive
Can't wait wait for my next visit.,NULL,RESTAURANT#GENERAL:positive
And I hate to say this but I doubt I'll ever go back. ,NULL,RESTAURANT#GENERAL:negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,FOOD#QUALITY:negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,FOOD#QUALITY:negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",NULL,FOOD#QUALITY:negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD#QUALITY:positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#QUALITY:positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#STYLE_OPTIONS:positive
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,AMBIENCE#GENERAL:negative
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,AMBIENCE#GENERAL:positive
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,AMBIENCE#GENERAL:negative
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,DRINKS#STYLE_OPTIONS:positive
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",NULL,SERVICE#GENERAL:positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,FOOD#QUALITY:positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,FOOD#QUALITY:positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE#GENERAL:positive
we love th pink pony.,pink pony,RESTAURANT#GENERAL:positive
THe perfect spot.,spot,RESTAURANT#GENERAL:positive
Food-awesome.,Food,FOOD#QUALITY:positive
Service- friendly and attentive.,Service,SERVICE#GENERAL:positive
Ambiance- relaxed and stylish.,Ambiance,AMBIENCE#GENERAL:positive
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,RESTAURANT#GENERAL:positive
the food is decent.,food,FOOD#QUALITY:neutral
"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE#GENERAL:negative
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE#GENERAL:negative
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",NULL,SERVICE#GENERAL:negative
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",NULL,RESTAURANT#GENERAL:negative
the last time i walked by it looked pretty empty. hmmm.,NULL,RESTAURANT#MISCELLANEOUS:negative
This place has got to be the best japanese restaurant in the new york area.,place,RESTAURANT#GENERAL:positive
I had a great experience.,NULL,RESTAURANT#GENERAL:positive
Food is great.,Food,FOOD#QUALITY:positive
Service is top notch.,Service,SERVICE#GENERAL:positive
I have been going back again and again.,NULL,RESTAURANT#GENERAL:positive
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD#QUALITY:positive
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",NULL,FOOD#QUALITY:positive
The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#QUALITY:positive
The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#STYLE_OPTIONS:positive
The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD#STYLE_OPTIONS:positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,FOOD#QUALITY:positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,FOOD#PRICES:positive
Surprisingly nothing could be further from the truth.,NULL,RESTAURANT#MISCELLANEOUS:positive
"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,RESTAURANT#MISCELLANEOUS:positive
The food was well prepared and the service impecable.,food,FOOD#QUALITY:positive
The food was well prepared and the service impecable.,service,SERVICE#GENERAL:positive
I'm going back.,NULL,RESTAURANT#GENERAL:positive
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,NULL,AMBIENCE#GENERAL:positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#QUALITY:positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#STYLE_OPTIONS:positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#PRICES:positive
I will be going back and heartily recommend it!,NULL,RESTAURANT#GENERAL:positive
"It is terrific, as is the value.",NULL,FOOD#QUALITY:positive
"It is terrific, as is the value.",NULL,FOOD#PRICES:positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#STYLE_OPTIONS:positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#QUALITY:positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#PRICES:positive
"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD#QUALITY:positive
Go hungry and enjoy.,NULL,RESTAURANT#GENERAL:positive
"The food here is rather good, but only if you like to wait for it.",food,FOOD#QUALITY:positive
"The food here is rather good, but only if you like to wait for it.",NULL,SERVICE#GENERAL:negative
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,FOOD#QUALITY:positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,FOOD#QUALITY:positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,FOOD#QUALITY:positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,FOOD#QUALITY:negative
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,FOOD#QUALITY:negative
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE#GENERAL:negative
"The kitchen however, is almost always slow.",kitchen,SERVICE#GENERAL:negative
"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD#QUALITY:negative
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,AMBIENCE#GENERAL:positive
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",NULL,RESTAURANT#MISCELLANEOUS:positive
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,LOCATION#GENERAL:positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,SERVICE#GENERAL:positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#QUALITY:positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#PRICES:positive
The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD#QUALITY:positive
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE#GENERAL:positive
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE#GENERAL:positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,FOOD#QUALITY:positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#QUALITY:negative
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#STYLE_OPTIONS:positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,FOOD#QUALITY:negative
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,AMBIENCE#GENERAL:positive
"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,FOOD#QUALITY:neutral
IT WAS HORRIBLE.,NULL,RESTAURANT#GENERAL:negative
The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,FOOD#QUALITY:negative
The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,FOOD#QUALITY:negative
It looked like shredded cheese partly done - still in strips.,NULL,FOOD#STYLE_OPTIONS:negative
This has got to be one of the most overrated restaurants in Brooklyn.,NULL,RESTAURANT#GENERAL:negative
The pizza is overpriced and soggy.,pizza,FOOD#QUALITY:negative
The pizza is overpriced and soggy.,pizza,FOOD#PRICES:negative
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,FOOD#QUALITY:positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,FOOD#QUALITY:negative
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,FOOD#QUALITY:negative
"A big disappointment, all around.",NULL,RESTAURANT#GENERAL:negative
I think I've had some the best meals of my life at minnow.,meals,FOOD#QUALITY:positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,FOOD#QUALITY:positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,DRINKS#STYLE_OPTIONS:positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,FOOD#STYLE_OPTIONS:positive
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD#QUALITY:positive
Worth the trip from Manhattan.,NULL,RESTAURANT#GENERAL:positive
Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,FOOD#QUALITY:positive
Best Pastrami I ever had and great portion without being ridiculous.,portion,FOOD#STYLE_OPTIONS:positive
My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#STYLE_OPTIONS:positive
My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#QUALITY:positive
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,RESTAURANT#GENERAL:positive
This place is the most Japanese it can ever get.,place,RESTAURANT#MISCELLANEOUS:positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,RESTAURANT#MISCELLANEOUS:positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,FOOD#STYLE_OPTIONS:positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,FOOD#QUALITY:positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,SERVICE#GENERAL:positive
This place is worth an one-hour drive.,place,RESTAURANT#GENERAL:positive
"I am so coming back here again, as much as I can.",NULL,RESTAURANT#GENERAL:positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,RESTAURANT#GENERAL:positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,AMBIENCE#GENERAL:positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,FOOD#QUALITY:positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,AMBIENCE#GENERAL:positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,FOOD#QUALITY:positive
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE#GENERAL:positive
Decent wine at reasonable prices.,wine,DRINKS#QUALITY:neutral
Decent wine at reasonable prices.,wine,DRINKS#PRICES:positive
Have been dozens of times and never failed to enjoy the experience.,NULL,RESTAURANT#GENERAL:positive
"Our teenage kids love it, too.",NULL,RESTAURANT#GENERAL:positive
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,RESTAURANT#GENERAL:positive
This is by far my favorite place in the neighborhood.,place,RESTAURANT#GENERAL:positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,SERVICE#GENERAL:positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,AMBIENCE#GENERAL:positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,FOOD#QUALITY:positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,FOOD#STYLE_OPTIONS:positive
I'm partial to the Gnocchi.,Gnocchi,RESTAURANT#GENERAL:positive
This place is incredibly tiny.,place,RESTAURANT#MISCELLANEOUS:negative
They refuse to seat parties of 3 or more on weekends.,NULL,SERVICE#GENERAL:negative
The hostess is rude to the point of being offensive.,hostess,SERVICE#GENERAL:negative
The food was bland oily.,food,FOOD#QUALITY:negative
I just don't understand all the hype...,NULL,RESTAURANT#GENERAL:negative
"We have been to this place many times, and always have great food, wine, and service.",food,FOOD#QUALITY:positive
"We have been to this place many times, and always have great food, wine, and service.",wine,DRINKS#QUALITY:positive
